"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.274591859E1,2.144999988E-2,1.363999993E-1,1.063974977E0,1.072896926E0
4.274790682E1,2.777500078E-2,1.384624988E-1,1.086387515E0,1.095527794E0
4.274989490E1,3.313750029E-2,1.417624950E-1,1.109762549E0,1.119271019E0
4.275188313E1,3.849999979E-2,1.438249946E-1,1.134374976E0,1.144104220E0
4.275387121E1,4.276249930E-2,1.460250020E-1,1.159950018E0,1.169887164E0
4.275585944E1,4.372499883E-2,1.502874941E-1,1.186487436E0,1.196766745E0
4.275784775E1,4.276249930E-2,1.566125005E-1,1.213162541E0,1.223976903E0
4.275983583E1,4.056249931E-2,1.629374921E-1,1.240800023E0,1.252109676E0
4.276182406E1,3.739999980E-2,1.683000028E-1,1.269675016E0,1.281326773E0
4.276381214E1,3.093750030E-2,1.768250018E-1,1.296212435E0,1.308583542E0
4.276580036E1,2.351249941E-2,1.853500009E-1,1.323987484E0,1.337105201E0
4.276778844E1,1.388750039E-2,1.918125004E-1,1.351624966E0,1.365238055E0
4.276977667E1,4.399999976E-3,1.960749924E-1,1.380362511E0,1.394225743E0
4.277176475E1,-8.387500420E-3,2.003374994E-1,1.407037497E0,1.421252961E0
4.277375298E1,-2.007500082E-2,2.046000063E-1,1.430412531E0,1.445110438E0
4.277574129E1,-3.286249936E-2,2.077624947E-1,1.452824950E0,1.467973274E0
4.277772937E1,-4.675000161E-2,2.109249979E-1,1.473037481E0,1.488796272E0
4.277971760E1,-6.173750013E-2,2.109249979E-1,1.492287517E0,1.508384204E0
4.278170568E1,-7.768750191E-2,2.088624984E-1,1.508237481E0,1.524611160E0
4.278369391E1,-9.363749623E-2,2.055625021E-1,1.522125006E0,1.538794481E0
4.278568199E1,-1.075249985E-1,2.035000026E-1,1.531612515E0,1.548809470E0
4.278767030E1,-1.212750003E-1,2.003374994E-1,1.538074970E0,1.555801193E0
4.278965853E1,-1.340624988E-1,1.970375031E-1,1.541237473E0,1.559554257E0
4.279164661E1,-1.468500048E-1,1.927749962E-1,1.541237473E0,1.560173091E0
4.279363484E1,-1.586750001E-1,1.875499934E-1,1.540137529E0,1.559607760E0
4.279562292E1,-1.703625023E-1,1.810874939E-1,1.536975026E0,1.556954814E0
4.279761115E1,-1.799875051E-1,1.736624986E-1,1.531612515E0,1.551899179E0
4.279959923E1,-1.885125041E-1,1.640374959E-1,1.525287509E0,1.545621962E0
4.280158746E1,-1.937374920E-1,1.523499936E-1,1.517862439E0,1.537742215E0
4.280357576E1,-1.979999989E-1,1.417624950E-1,1.509337544E0,1.528855921E0
4.280556376E1,-2.011625022E-1,1.321374923E-1,1.499712467E0,1.518902286E0
4.280755207E1,-2.022625059E-1,1.225124970E-1,1.488987446E0,1.507648184E0
4.280954015E1,-2.001999915E-1,1.128875017E-1,1.477300048E0,1.495071589E0
4.281152838E1,-1.970375031E-1,1.043625027E-1,1.464512467E0,1.481388564E0
4.281351645E1,-1.937374920E-1,9.487500042E-2,1.450762510E0,1.466713109E0
4.281550468E1,-1.905750036E-1,8.731249720E-2,1.435775042E0,1.450996993E0
4.281749298E1,-1.852124929E-1,8.208750188E-2,1.420925021E0,1.435294374E0
4.281948099E1,-1.799875051E-1,7.782500237E-2,1.405937433E0,1.419546512E0
4.282146929E1,-1.735250056E-1,7.356250286E-2,1.388887525E0,1.401617254E0
4.282345737E1,-1.660999954E-1,6.929999590E-2,1.371837497E0,1.383593082E0
4.282544558E1,-1.586750001E-1,6.710000336E-2,1.355887532E0,1.366788633E0
4.282743366E1,-1.490499973E-1,6.710000336E-2,1.338837504E0,1.348778772E0
4.282942189E1,-1.373624951E-1,6.710000336E-2,1.323987484E0,1.332784200E0
4.283140997E1,-1.245749965E-1,7.026249915E-2,1.310099959E0,1.317883778E0
