"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.010979770E-1,2.895000204E-2,-1.969500035E-1,1.007100010E1,1.007296731E1
4.030853600E-1,2.205000073E-2,-1.939500123E-1,1.008000088E1,1.008189072E1
4.050729750E-1,2.205000073E-2,-1.750500053E-1,1.006395054E1,1.006549696E1
4.070603620E-1,3.795000166E-2,-1.819500029E-1,1.009005070E1,1.009176244E1
4.090477460E-1,3.405000269E-2,-1.969500035E-1,1.008495045E1,1.008693086E1
4.110351310E-1,2.595000155E-2,-1.969500035E-1,1.008495045E1,1.008690677E1
4.130225540E-1,3.795000166E-2,-1.750500053E-1,1.008000088E1,1.008159216E1
4.150100130E-1,3.795000166E-2,-2.059500068E-1,1.006395054E1,1.006612915E1
4.169974000E-1,3.795000166E-2,-1.870500147E-1,1.006095028E1,1.006276048E1
4.189847070E-1,4.500000179E-2,-1.870500147E-1,1.005600071E1,1.005784087E1
4.209721670E-1,2.400000021E-2,-1.870500147E-1,1.007805061E1,1.007981487E1
4.229595400E-1,4.095000029E-2,-1.890000105E-1,1.006605053E1,1.006790798E1
4.249469240E-1,2.895000204E-2,-1.939500123E-1,1.006095028E1,1.006286119E1
4.269345380E-1,4.095000029E-2,-1.969500035E-1,1.006095028E1,1.006296113E1
4.289220010E-1,3.795000166E-2,-2.059500068E-1,1.007595062E1,1.007812664E1
4.309093860E-1,4.800000042E-2,-1.800000072E-1,1.007595062E1,1.007767260E1
4.328966930E-1,3.600000218E-2,-1.969500035E-1,1.007805061E1,1.008003916E1
4.348840810E-1,2.895000204E-2,-1.849500090E-1,1.007100010E1,1.007273983E1
4.368712370E-1,4.800000042E-2,-1.870500147E-1,1.006395054E1,1.006580311E1
4.388586200E-1,3.600000218E-2,-2.010000050E-1,1.008000088E1,1.008206897E1
4.408460040E-1,2.400000021E-2,-2.010000050E-1,1.007295036E1,1.007498417E1
4.428333140E-1,2.895000204E-2,-2.110500038E-1,1.007595062E1,1.007820228E1
4.448204680E-1,4.095000029E-2,-2.130000144E-1,1.009005070E1,1.009238173E1
4.468078210E-1,3.600000218E-2,-2.010000050E-1,1.008495045E1,1.008701752E1
4.487951310E-1,3.105000220E-2,-1.969500035E-1,1.006800079E1,1.006997485E1
4.507825140E-1,3.105000220E-2,-1.870500147E-1,1.008000088E1,1.008178404E1
4.527696700E-1,4.500000179E-2,-1.939500123E-1,1.008300018E1,1.008496576E1
4.547570520E-1,3.105000220E-2,-1.890000105E-1,1.007805061E1,1.007987050E1
4.567444370E-1,3.600000218E-2,-2.059500068E-1,1.005195045E1,1.005412449E1
4.587317410E-1,2.400000021E-2,-2.040000111E-1,1.006395054E1,1.006604652E1
4.607188950E-1,2.895000204E-2,-1.849500090E-1,1.008300018E1,1.008473784E1
4.627062010E-1,3.795000166E-2,-1.969500035E-1,1.007805061E1,1.008004631E1
4.646933570E-1,2.595000155E-2,-2.010000050E-1,1.008795071E1,1.008998632E1
4.666804340E-1,1.695000008E-2,-2.059500068E-1,1.005600071E1,1.005812373E1
4.686677390E-1,4.500000179E-2,-1.939500123E-1,1.007100010E1,1.007296801E1
4.706548900E-1,3.105000220E-2,-2.040000111E-1,1.006395054E1,1.006606579E1
4.726421960E-1,4.095000029E-2,-1.890000105E-1,1.007805061E1,1.007990586E1
4.746293520E-1,2.205000073E-2,-2.040000111E-1,1.006800079E1,1.007009147E1
4.766166580E-1,3.405000269E-2,-2.059500068E-1,1.005900002E1,1.006116574E1
4.786037370E-1,1.695000008E-2,-2.040000111E-1,1.005600071E1,1.005808399E1
4.805908880E-1,1.395000052E-2,-1.990500093E-1,1.008300018E1,1.008497438E1
4.825779670E-1,2.595000155E-2,-2.059500068E-1,1.006800079E1,1.007014046E1
4.845652730E-1,1.200000010E-2,-1.939500123E-1,1.007100010E1,1.007287464E1
4.865523520E-1,1.005000062E-2,-1.969500035E-1,1.006395054E1,1.006588251E1
4.885395040E-1,2.400000021E-2,-1.939500123E-1,1.007100010E1,1.007289609E1
4.905268880E-1,2.895000204E-2,-1.849500090E-1,1.009005070E1,1.009178714E1
4.925142730E-1,1.905000024E-2,-1.990500093E-1,1.007595062E1,1.007793455E1
4.945016490E-1,2.205000073E-2,-1.819500029E-1,1.008495045E1,1.008661576E1
4.964889580E-1,3.795000166E-2,-2.059500068E-1,1.009200001E1,1.009417256E1
4.984764180E-1,2.400000021E-2,-2.010000050E-1,1.006395054E1,1.006598616E1
5.004637280E-1,4.800000042E-2,-1.969500035E-1,1.009005070E1,1.009208682E1
5.024511100E-1,3.795000166E-2,-1.920000017E-1,1.008000088E1,1.008190071E1
5.044385720E-1,1.905000024E-2,-1.969500035E-1,1.006395054E1,1.006589552E1
5.064256310E-1,2.205000073E-2,-2.059500068E-1,1.007100010E1,1.007312983E1
5.084132440E-1,3.795000166E-2,-1.939500123E-1,1.008300018E1,1.008493676E1
5.104006310E-1,3.600000218E-2,-2.010000050E-1,1.006605053E1,1.006812149E1
5.123877850E-1,3.405000269E-2,-1.920000017E-1,1.006395054E1,1.006583945E1
5.143750900E-1,2.595000155E-2,-1.890000105E-1,1.006800079E1,1.006980806E1
5.163624750E-1,3.405000269E-2,-1.990500093E-1,1.007100010E1,1.007302454E1
5.183499170E-1,2.895000204E-2,-2.010000050E-1,1.007100010E1,1.007304731E1
5.203369960E-1,4.800000042E-2,-1.990500093E-1,1.006605053E1,1.006813280E1
5.223243020E-1,4.500000179E-2,-1.920000017E-1,1.007100010E1,1.007293066E1
5.243116870E-1,3.795000166E-2,-1.920000017E-1,1.007805061E1,1.007995081E1
5.262988420E-1,3.795000166E-2,-1.819500029E-1,1.008300018E1,1.008471312E1
