Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi
98,0.485,-0.02679237,-0.05524737,0.9973983,240.3851,-553.1,-209.2876,-0.1350701,0.6078152,-0.05552765,24.52021,55.18449
99,0.49,-0.02835642,-0.05728653,1.002451,267.977,-516.5856,-232.2928,-0.1369725,0.6091878,-0.05155276,24.51733,55.15983
100,0.495,-0.02671777,-0.05475787,0.9997197,195.2928,-598.108,-228.4217,-0.1365713,0.613817,-0.04802549,24.51529,55.13595
101,0.5,-0.02569672,-0.05649488,1.001536,200.2643,-553.1169,-244.5842,-0.1367129,0.6137024,-0.04834347,24.51414,55.11358
102,0.505,-0.02626098,-0.05575785,1.003547,176.5533,-534.9163,-243.4288,-0.1410738,0.6108159,-0.05252738,24.5139,55.09349
103,0.51,-0.02396637,-0.05438537,1.001553,226.1894,-546.1016,-248.0044,-0.1464087,0.6077741,-0.05577883,24.51458,55.07638
104,0.515,-0.02713381,-0.05610522,1.00622,260.317,-536.0126,-225.4583,-0.1470744,0.610817,-0.05402687,24.51617,55.06289
105,0.52,-0.02679233,-0.05361413,0.9997678,185.8297,-563.3683,-195.5084,-0.1411055,0.6151148,-0.0488887,24.51865,55.05359
106,0.525,-0.02978874,-0.05786732,1.005593,233.6209,-528.4653,-234.9942,-0.1350703,0.6183191,-0.04652449,24.52198,55.04893
107,0.53,-0.02589641,-0.05544895,1.000568,233.0814,-600.4713,-255.8522,-0.1342785,0.616229,-0.04818168,24.52613,55.04925
108,0.535,-0.02779837,-0.05728827,1.006899,235.7563,-528.2612,-185.524,-0.1380718,0.6138173,-0.0495254,24.53101,55.05474
109,0.54,-0.02327907,-0.05356297,0.9986231,218.4269,-520.4149,-195.0121,-0.1408541,0.6114579,-0.04814292,24.53655,55.06541
110,0.545,-0.02810292,-0.05600857,1.003478,246.3502,-498.1588,-221.267,-0.1410725,0.6123171,-0.04802577,24.54261,55.08109
111,0.55,-0.02427789,-0.05590283,1.00328,187.2872,-561.4192,-226.2031,-0.1393188,0.61309,-0.05117036,24.53877,55.07826
112,0.555,-0.0257727,-0.05523948,1.00361,232.153,-546.5124,-246.2335,-0.1380726,0.6153178,-0.05402794,24.53459,55.07828
113,0.56,-0.02446055,-0.05750589,1.00384,200.3323,-604.8792,-186.8917,-0.1394172,0.6147337,-0.05375848,24.53104,55.08306
114,0.565,-0.0257233,-0.0557777,1.000509,167.3981,-510.8039,-181.8222,-0.1455762,0.6123158,-0.05402865,24.52823,55.09245
115,0.57,-0.02458317,-0.05747563,1.000924,223.51,-544.9926,-222.3674,-0.1518811,0.6072475,-0.05697081,24.52624,55.1061
116,0.575,-0.02579084,-0.0552052,0.9979036,245.4208,-560.8206,-224.8631,-0.1515763,0.6063142,-0.05852911,24.52509,55.12355
117,0.58,-0.02319455,-0.05463237,1.000889,267.2959,-572.5965,-199.9196,-0.1439557,0.6080698,-0.05505461,24.52485,55.14422
118,0.585,-0.02402757,-0.0536801,1.000163,209.4631,-527.5644,-224.4585,-0.1380714,0.6108155,-0.05102685,24.52553,55.16744
119,0.59,-0.02532018,-0.05557713,0.9988976,148.0576,-573.1688,-219.3826,-0.137827,0.6089556,-0.05142595,24.52712,55.19253
120,0.595,-0.02216884,-0.05497239,1.000306,185.5103,-607.0924,-240.8761,-0.1380702,0.607815,-0.05402748,24.52961,55.21874
121,0.6,-0.02520743,-0.05385908,0.9973704,207.5405,-554.15,-232.0826,-0.13372,0.6085632,-0.05339552,24.53298,55.24533
